joint,x,y,z,jointname,voiceover
13,-263.01318,-752.5676,3502.3945,LEFT_FOOT,
14,35.02923,-746.19775,3536.762,RIGHT_FOOT,
0,-101.97449,571.9034,3628.2188,HEAD,
1,-98.85297,311.49573,3565.2363,NECK,
2,-229.8331,306.44437,3582.8928,LEFT_SHOULDER,
3,32.127163,316.54712,3547.5798,RIGHT_SHOULDER,
4,-261.03333,87.38283,3626.0205,LEFT_ELBOW,
5,77.798195,106.301956,3572.801,RIGHT_ELBOW,
6,-305.6171,-157.47763,3473.4653,LEFT_HAND,
7,96.50211,-121.60956,3442.2888,RIGHT_HAND,
8,-96.5309,141.0258,3533.692,TORSO,
9,-176.85158,-32.631332,3513.2878,LEFT_HIP,
10,-11.566074,-26.256943,3491.007,RIGHT_HIP,
11,-219.03822,-405.84448,3447.794,LEFT_KNEE,
12,10.268469,-394.87274,3469.8005,RIGHT_KNEE,
13,-270.92133,-760.3208,3470.39,LEFT_FOOT,
14,33.878357,-738.88904,3544.3423,RIGHT_FOOT,
0,-97.0585,571.6201,3626.8347,HEAD,
1,-88.06902,314.26266,3567.4014,NECK,
2,-220.22707,309.5793,3585.0461,LEFT_SHOULDER,
3,44.089027,318.946,3549.7566,RIGHT_SHOULDER,
4,-254.83224,85.985596,3618.1113,LEFT_ELBOW,
5,83.71379,104.76347,3579.8982,RIGHT_ELBOW,
6,-269.07367,-143.25812,3480.026,LEFT_HAND,
7,122.03624,-123.069534,3464.2222,RIGHT_HAND,
8,-86.58574,142.15225,3532.8286,TORSO,
9,-175.8403,-33.173676,3510.3704,LEFT_HIP,
10,5.6353908,-26.742645,3486.1414,RIGHT_HIP,
11,-216.30606,-407.09747,3451.903,LEFT_KNEE,
12,13.483858,-392.11285,3463.2195,RIGHT_KNEE,
13,-266.85873,-761.0519,3473.684,LEFT_FOOT,
14,33.10456,-736.3363,3540.3074,RIGHT_FOOT,
0,-90.39104,571.422,3627.554,HEAD,
1,-76.26785,316.88367,3567.4473,NECK,
2,-204.40627,316.21545,3589.2288,LEFT_SHOULDER,
3,51.870564,317.55182,3545.6658,RIGHT_SHOULDER,
4,-247.97728,88.780655,3614.7834,LEFT_ELBOW,
5,94.45003,104.8179,3590.912,RIGHT_ELBOW,
6,-239.88435,-174.84917,3560.6587,LEFT_HAND,
7,136.26497,-148.94328,3466.9314,RIGHT_HAND,
8,-81.62565,143.62347,3530.6128,TORSO,
9,-178.47115,-30.11377,3509.3298,LEFT_HIP,
10,4.504246,-29.159637,3478.2268,RIGHT_HIP,
11,-212.67691,-404.5452,3451.4602,LEFT_KNEE,
12,21.059484,-395.4832,3456.7598,RIGHT_KNEE,
13,-261.92502,-754.8355,3480.2405,LEFT_FOOT,
14,37.3239,-741.77783,3539.676,RIGHT_FOOT,
0,-83.19983,572.12854,3628.2476,HEAD,
1,-64.171005,310.81348,3565.4465,NECK,
2,-202.21483,312.23123,3587.5251,LEFT_SHOULDER,
3,73.87282,309.39575,3543.368,RIGHT_SHOULDER,
4,-234.77841,79.960815,3617.7312,LEFT_ELBOW,
5,114.286446,96.94774,3591.424,RIGHT_ELBOW,
6,-246.81673,-161.76299,3582.4421,LEFT_HAND,
7,141.74542,-142.55705,3449.121,RIGHT_HAND,
8,-71.53882,140.23154,3530.334,TORSO,
9,-171.76576,-29.396729,3510.0732,LEFT_HIP,
10,13.952507,-31.304108,3480.3696,RIGHT_HIP,
11,-209.98514,-401.8256,3445.2534,LEFT_KNEE,
12,25.460863,-398.73172,3454.5215,RIGHT_KNEE,
13,-252.29266,-743.0852,3465.9072,LEFT_FOOT,
14,33.63043,-742.37714,3542.0388,RIGHT_FOOT,
0,-68.34925,574.8765,3629.396,HEAD,
1,-54.612232,310.36975,3566.7317,NECK,
2,-193.76295,314.50793,3588.4558,LEFT_SHOULDER,
3,84.538475,306.2316,3545.0076,RIGHT_SHOULDER,
4,-222.92012,95.86804,3641.1484,LEFT_ELBOW,
5,125.14572,94.78667,3596.4045,RIGHT_ELBOW,
6,-239.85579,-142.97087,3550.262,LEFT_HAND,
7,151.02464,-163.00737,3465.988,RIGHT_HAND,
8,-65.252846,139.59715,3531.105,TORSO,
9,-167.21938,-28.459549,3509.736,LEFT_HIP,
10,15.432462,-33.891373,3481.2205,RIGHT_HIP,
11,-208.56262,-399.02985,3436.884,LEFT_KNEE,
12,23.862755,-402.1718,3455.6145,RIGHT_KNEE,
13,-254.5535,-744.7041,3468.0283,LEFT_FOOT,
14,35.66268,-745.8801,3544.6663,RIGHT_FOOT,
0,-59.90808,575.17554,3630.072,HEAD,
1,-58.836254,313.81946,3567.3843,NECK,
2,-194.98845,315.97552,3585.6208,LEFT_SHOULDER,
3,77.31593,311.66336,3549.1477,RIGHT_SHOULDER,
4,-216.28221,105.08086,3644.167,LEFT_ELBOW,
5,145.7688,121.03331,3622.8018,RIGHT_ELBOW,
6,-247.65549,-126.35509,3516.0073,LEFT_HAND,
7,165.43939,-138.38106,3479.6619,RIGHT_HAND,
8,-66.41344,141.09488,3531.235,TORSO,
9,-167.08603,-30.155441,3507.5554,LEFT_HIP,
10,19.104786,-33.103928,3482.6165,RIGHT_HIP,
11,-205.15193,-400.48737,3427.2766,LEFT_KNEE,
12,28.773975,-405.1764,3453.63,RIGHT_KNEE,
13,-253.8162,-747.5869,3469.8186,LEFT_FOOT,
14,36.710987,-746.29126,3544.5059,RIGHT_FOOT,
0,-55.756386,574.8385,3630.7393,HEAD,
1,-60.410557,315.54572,3566.7188,NECK,
2,-195.9391,317.37408,3572.1213,LEFT_SHOULDER,
3,75.11797,313.71735,3561.3162,RIGHT_SHOULDER,
4,-218.82373,98.53401,3626.321,LEFT_ELBOW,
5,150.43527,129.4093,3638.5505,RIGHT_ELBOW,
6,-248.94458,-112.31618,3510.4907,LEFT_HAND,
7,159.83716,-110.23291,3490.436,RIGHT_HAND,
8,-63.913967,140.41425,3538.101,TORSO,
9,-159.80258,-33.4709,3513.1663,LEFT_HIP,
10,24.96784,-35.963547,3505.8005,RIGHT_HIP,
11,-204.54456,-403.94653,3434.2466,LEFT_KNEE,
12,32.508217,-407.1059,3442.4133,RIGHT_KNEE,
13,-252.03644,-750.1111,3482.367,LEFT_FOOT,
14,37.486355,-747.75366,3531.3628,RIGHT_FOOT,
0,-50.79176,573.33453,3629.2163,HEAD,
1,-57.218098,316.86157,3566.9055,NECK,
2,-191.7303,318.76996,3576.1633,LEFT_SHOULDER,
3,77.29411,314.9532,3557.6477,RIGHT_SHOULDER,
4,-217.83894,102.21759,3635.4336,LEFT_ELBOW,
5,152.48741,129.60826,3636.753,RIGHT_ELBOW,
6,-249.29408,-98.99515,3519.7861,LEFT_HAND,
7,187.58041,-110.64531,3519.712,RIGHT_HAND,
8,-61.850815,141.31883,3535.7798,TORSO,
9,-157.4454,-32.93341,3510.9146,LEFT_HIP,
10,24.478344,-35.514404,3498.3936,RIGHT_HIP,
11,-200.05467,-406.18958,3428.3447,LEFT_KNEE,
12,33.017307,-407.36108,3445.9949,RIGHT_KNEE,
13,-225.66559,-749.18396,3492.1873,LEFT_FOOT,
14,35.556965,-747.2269,3533.823,RIGHT_FOOT,
0,-51.505676,570.93256,3630.8354,HEAD,
1,-55.706715,317.5722,3567.483,NECK,
2,-190.06017,320.0421,3573.1455,LEFT_SHOULDER,
3,78.64674,315.10223,3561.8203,RIGHT_SHOULDER,
4,-219.79639,100.79228,3628.5974,LEFT_ELBOW,
5,151.89871,128.48605,3639.8347,RIGHT_ELBOW,
6,-246.91548,-114.4501,3535.8652,LEFT_HAND,
7,190.95001,-102.601074,3530.7266,RIGHT_HAND,
8,-60.102543,140.74258,3540.316,TORSO,
9,-158.6166,-34.356766,3517.1157,LEFT_HIP,
10,29.619852,-37.817276,3509.1821,RIGHT_HIP,
11,-192.05249,-416.2068,3431.3992,LEFT_KNEE,
12,36.16632,-409.51727,3443.2192,RIGHT_KNEE,
13,-226.81322,-760.6575,3498.0442,LEFT_FOOT,
14,35.67974,-746.25037,3528.7012,RIGHT_FOOT,
0,-51.05292,569.1401,3633.031,HEAD,
1,-56.192986,317.18854,3567.8452,NECK,
2,-189.15965,318.67566,3574.1047,LEFT_SHOULDER,
3,76.77369,315.70148,3561.5857,RIGHT_SHOULDER,
4,-220.99248,97.99954,3626.456,LEFT_ELBOW,
5,150.70212,130.01254,3638.8213,RIGHT_ELBOW,
6,-249.72682,-127.08003,3516.8113,LEFT_HAND,
7,201.25674,-131.86899,3535.1824,RIGHT_HAND,
8,-59.4347,139.44249,3541.212,TORSO,
9,-154.94838,-37.271606,3518.9224,LEFT_HIP,
10,29.59555,-39.33554,3510.2349,RIGHT_HIP,
11,-185.38213,-421.22214,3443.8748,LEFT_KNEE,
12,38.480408,-413.0758,3446.6455,RIGHT_KNEE,
13,-229.90019,-766.4326,3521.3025,LEFT_FOOT,
14,37.19348,-748.751,3530.1958,RIGHT_FOOT,
0,-50.43791,568.21326,3634.8655,HEAD,
1,-55.89304,317.19946,3568.8633,NECK,
2,-187.77919,318.1515,3577.7236,LEFT_SHOULDER,
3,75.99311,316.24747,3560.003,RIGHT_SHOULDER,
4,-220.93948,96.824005,3627.6973,LEFT_ELBOW,
5,150.17035,130.60358,3636.9207,RIGHT_ELBOW,
6,-252.35808,-100.14368,3542.8306,LEFT_HAND,
7,212.15733,-123.55057,3547.262,RIGHT_HAND,
8,-58.81294,138.71292,3544.5786,TORSO,
9,-151.64545,-39.124603,3526.3345,LEFT_HIP,
10,28.179768,-40.42267,3514.2534,RIGHT_HIP,
11,-183.68774,-419.51804,3454.906,LEFT_KNEE,
12,38.614376,-414.69806,3453.2656,RIGHT_KNEE,
13,-229.24568,-768.1273,3512.6716,LEFT_FOOT,
14,40.19047,-751.87244,3560.7883,RIGHT_FOOT,
0,-50.57541,567.40924,3637.3633,HEAD,
1,-56.718132,316.2948,3569.562,NECK,
2,-188.97495,316.11157,3584.7468,LEFT_SHOULDER,
3,75.53867,316.47803,3554.3772,RIGHT_SHOULDER,
4,-221.60474,93.86609,3634.0215,LEFT_ELBOW,
5,144.41058,129.88206,3641.508,RIGHT_ELBOW,
6,-260.06342,-67.93257,3445.4956,LEFT_HAND,
7,193.00583,-128.6657,3520.214,RIGHT_HAND,
8,-59.05682,137.943,3547.0405,TORSO,
9,-148.05623,-40.52887,3534.4688,LEFT_HIP,
10,25.265211,-40.288757,3514.5693,RIGHT_HIP,
11,-185.48192,-417.1792,3457.006,LEFT_KNEE,
12,37.20019,-410.82156,3478.1064,RIGHT_KNEE,
13,-229.08705,-767.8861,3502.354,LEFT_FOOT,
14,43.7187,-754.52075,3580.747,RIGHT_FOOT,
0,-54.987106,566.99146,3637.7795,HEAD,
1,-56.24012,314.23694,3570.5398,NECK,
2,-190.83167,315.10767,3581.5432,LEFT_SHOULDER,
3,78.35143,313.36615,3559.5364,RIGHT_SHOULDER,
4,-225.20174,92.88844,3628.4976,LEFT_ELBOW,
5,143.81561,128.99583,3641.172,RIGHT_ELBOW,
6,-284.88785,-72.921555,3469.8044,LEFT_HAND,
7,212.40497,-114.35187,3557.576,RIGHT_HAND,
8,-59.243454,136.78607,3547.846,TORSO,
9,-149.43172,-40.100723,3532.2798,LEFT_HIP,
10,24.938133,-41.228836,3518.0244,RIGHT_HIP,
11,-190.49117,-424.26227,3477.897,LEFT_KNEE,
12,38.712147,-413.62634,3483.0208,RIGHT_KNEE,
13,-230.04272,-772.32825,3509.084,LEFT_FOOT,
14,46.36649,-759.2294,3587.3867,RIGHT_FOOT,
0,-58.578716,564.47327,3652.0115,HEAD,
1,-59.02197,301.76154,3571.4648,NECK,
2,-192.8817,301.93164,3584.0496,LEFT_SHOULDER,
3,74.83775,301.59143,3558.8801,RIGHT_SHOULDER,
4,-234.82999,73.45909,3623.874,LEFT_ELBOW,
5,137.44943,112.15474,3638.578,RIGHT_ELBOW,
6,-291.2853,-139.06541,3414.6316,LEFT_HAND,
7,187.3587,-76.6613,3521.0803,RIGHT_HAND,
8,-61.233856,128.35947,3550.2815,TORSO,
9,-150.34381,-44.932175,3537.2678,LEFT_HIP,
10,23.452328,-45.15303,3520.9285,RIGHT_HIP,
11,-191.85881,-428.4037,3484.3743,LEFT_KNEE,
12,38.99608,-416.464,3491.324,RIGHT_KNEE,
13,-231.01076,-776.01965,3510.7725,LEFT_FOOT,
14,48.006832,-761.6235,3593.9285,RIGHT_FOOT,
0,-57.042107,566.00964,3649.3857,HEAD,
1,-61.0666,305.75183,3570.6946,NECK,
2,-195.58368,305.1292,3585.302,LEFT_SHOULDER,
3,73.45048,306.3745,3556.0872,RIGHT_SHOULDER,
4,-236.03735,87.72989,3606.4968,LEFT_ELBOW,
5,130.31293,107.316574,3631.228,RIGHT_ELBOW,
6,-322.366,-129.39078,3437.2253,LEFT_HAND,
7,173.75578,-129.8574,3530.3276,RIGHT_HAND,
8,-62.59877,129.96277,3549.092,TORSO,
9,-151.0639,-46.2287,3536.9297,LEFT_HIP,
10,22.802036,-45.42392,3518.0493,RIGHT_HIP,
11,-191.87949,-433.91785,3494.3848,LEFT_KNEE,
12,38.591537,-418.12088,3496.1462,RIGHT_KNEE,
13,-230.68011,-778.3685,3511.5854,LEFT_FOOT,
14,46.878128,-763.84485,3591.6921,RIGHT_FOOT,
0,-58.389103,567.36926,3647.3616,HEAD,
1,-62.739082,308.01385,3567.9397,NECK,
2,-197.60101,307.36212,3580.4905,LEFT_SHOULDER,
3,72.12286,308.6656,3555.389,RIGHT_SHOULDER,
4,-236.98352,101.24745,3595.9731,LEFT_ELBOW,
5,119.40261,103.08876,3619.3364,RIGHT_ELBOW,
6,-298.92596,-98.55679,3444.5322,LEFT_HAND,
7,165.02473,-111.49718,3503.3755,RIGHT_HAND,
8,-63.959568,132.57361,3545.7148,TORSO,
9,-152.98206,-43.29094,3531.6611,LEFT_HIP,
10,22.621939,-42.442307,3515.3188,RIGHT_HIP,
11,-191.32448,-435.06702,3501.2744,LEFT_KNEE,
12,38.41568,-416.4331,3492.2305,RIGHT_KNEE,
13,-229.21251,-781.31506,3514.2666,LEFT_FOOT,
14,43.32889,-759.83057,3577.3682,RIGHT_FOOT,
0,-57.250595,569.1408,3647.9539,HEAD,
1,-65.26288,321.30942,3571.0154,NECK,
2,-202.35564,320.48322,3584.051,LEFT_SHOULDER,
3,71.82988,322.13562,3557.9797,RIGHT_SHOULDER,
4,-243.6633,103.041565,3581.6714,LEFT_ELBOW,
5,114.67058,111.88823,3613.5588,RIGHT_ELBOW,
6,-336.45728,-105.33707,3410.039,LEFT_HAND,
7,146.87521,-145.97523,3493.5784,RIGHT_HAND,
8,-66.557785,144.5788,3546.196,TORSO,
9,-156.56108,-32.68643,3529.8118,LEFT_HIP,
10,20.855694,-31.617218,3512.9417,RIGHT_HIP,
11,-190.91953,-436.38654,3505.0322,LEFT_KNEE,
12,37.257088,-406.4803,3495.997,RIGHT_KNEE,
13,-227.54616,-785.6699,3512.7666,LEFT_FOOT,
14,43.962364,-754.2821,3579.891,RIGHT_FOOT,
0,-59.60258,571.96814,3655.5273,HEAD,
1,-65.98941,322.16205,3576.653,NECK,
2,-203.95924,320.86108,3589.2979,LEFT_SHOULDER,
3,71.98042,323.463,3564.0083,RIGHT_SHOULDER,
4,-249.08597,102.12436,3575.349,LEFT_ELBOW,
5,112.14992,114.03183,3612.483,RIGHT_ELBOW,
6,-331.98026,-120.65642,3376.7864,LEFT_HAND,
7,136.28168,-119.7388,3482.2878,RIGHT_HAND,
8,-66.87817,147.90237,3549.027,TORSO,
9,-156.58498,-27.194794,3529.5413,LEFT_HIP,
10,21.051136,-25.519806,3513.261,RIGHT_HIP,
11,-189.38983,-429.025,3509.433,LEFT_KNEE,
12,36.881958,-396.78778,3499.0315,RIGHT_KNEE,
13,-228.75241,-788.8256,3516.5913,LEFT_FOOT,
14,43.662544,-747.63,3576.133,RIGHT_FOOT,
0,-60.753845,572.52106,3661.5142,HEAD,
1,-66.34171,323.90506,3579.4302,NECK,
2,-204.70311,322.20874,3594.6626,LEFT_SHOULDER,
3,72.01969,325.60138,3564.1978,RIGHT_SHOULDER,
4,-250.15627,102.23868,3574.312,LEFT_ELBOW,
5,112.755875,138.62222,3603.692,RIGHT_ELBOW,
6,-331.14404,-114.876434,3361.0525,LEFT_HAND,
7,127.48255,-121.947266,3531.7266,RIGHT_HAND,
8,-67.58227,151.46135,3548.9583,TORSO,
9,-157.2335,-22.066269,3528.2197,LEFT_HIP,
